LAST SEEN   TYPE     REASON      OBJECT              MESSAGE
0s          Normal    Pulled      pod/curl-test        Container image "curlimages/curl:8.6.0" already present on machine
0s          Normal    Created     pod/curl-test        Created container: curl-test
0s          Normal    Started     pod/curl-test        Started container curl-test
60m         Normal    Scheduled   pod/client           Successfully assigned criu-svc-test/client to ubuntu-2204
61m         Normal    Scheduled   pod/server-source    Successfully assigned criu-svc-test/server-source to ubuntu-2204
60m         Normal    Pulling     pod/client           Pulling image "curlimages/curl:8.6.0"
60m         Normal    Pulled      pod/client           Successfully pulled image "curlimages/curl:8.6.0" in 3.26s (3.26s including waiting). Image size: 7535333 bytes.
60m         Normal    Created     pod/client           Created container: client
60m         Normal    Started     pod/client           Started container client
61m         Normal    Pulling     pod/server-source    Pulling image "python:3.12-alpine"
60m         Normal    Pulled      pod/server-source    Successfully pulled image "python:3.12-alpine" in 4.186s (4.186s including waiting). Image size: 18081996 bytes.
60m         Normal    Created     pod/server-source    Created container: server
60m         Normal    Started     pod/server-source    Started container server
